Transaction_ID,Date,Time,Product_ID,Staff_ID,Customer_ID,Quantity_Sold,Unit_Price,Total_Amount,Payment_Method
TRX_00001,2025-04-16,9:03,127,S01,CUST_174,2,95,190,Cash
TRX_00002,2025-10-19,22:48,105,S05,CUST_110,2,65,130,Cash
TRX_00003,2025-09-16,13:30,124,S04,CUST_128,1,480,480,Cash
TRX_00004,2025-03-01,9:16,125,S04,CUST_041,3,550,1650,App
TRX_00005,2025-01-24,22:04,119,S01,CUST_021,4,25,100,Cash
TRX_00006,2025-09-18,19:43,135,S04,CUST_001,1,95,95,Cash
TRX_00007,2025-09-11,13:05,118,S05,CUST_127,2,40,80,App
TRX_00008,2025-09-08,21:26,139,S04,CUST_007,1,160,160,Cash
TRX_00009,2025-03-22,21:33,135,S01,CUST_111,5,95,475,Cash
TRX_00010,2025-04-28,22:37,131,S05,CUST_177,4,85,340,App
TRX_00011,2025-09-14,18:03,101,S05,CUST_137,3,45,135,Cash
TRX_00012,2025-03-13,19:13,141,S04,CUST_171,1,95,95,Cash
TRX_00013,2025-02-15,12:11,126,S01,CUST_145,1,390,390,Cash
TRX_00014,2024-11-28,15:28,140,S01,CUST_002,2,175,350,Cash
TRX_00015,2025-04-25,9:14,106,S03,CUST_092,4,32,128,Cash
TRX_00016,2025-11-21,22:29,119,S03,CUST_091,3,25,75,Cash
TRX_00017,2025-04-11,21:50,124,S02,CUST_110,2,480,960,Cash
TRX_00018,2025-07-02,10:34,130,S01,CUST_134,2,145,290,Cash
TRX_00019,2025-04-12,22:09,118,S04,CUST_085,2,40,80,Cash
TRX_00020,2025-05-03,18:47,128,S05,CUST_044,2,110,220,Visa
TRX_00021,2025-07-09,10:29,109,S03,CUST_179,3,95,285,Cash
TRX_00022,2025-04-15,17:34,143,S04,CUST_175,4,350,1400,Cash
TRX_00023,2025-09-29,9:56,109,S03,CUST_177,1,95,95,Cash
TRX_00024,2025-10-02,13:01,125,S04,CUST_125,3,550,1650,Cash
TRX_00025,2025-09-23,9:48,138,S01,CUST_164,5,300,1500,Cash
TRX_00026,2025-09-18,9:48,112,S02,CUST_087,3,56,168,Visa
TRX_00027,2025-08-19,19:28,130,S03,CUST_099,4,145,580,App
TRX_00028,2025-09-22,15:40,111,S04,CUST_122,2,140,280,Visa
TRX_00029,2025-07-25,14:26,104,S01,CUST_017,1,42,42,Cash
TRX_00030,2025-02-17,14:26,115,S01,CUST_047,1,180,180,Cash
TRX_00031,2025-11-01,15:52,111,S02,CUST_031,3,140,420,Visa
TRX_00032,2025-07-17,10:20,132,S04,CUST_158,1,20,20,Cash
TRX_00033,2025-06-21,22:32,136,S04,CUST_094,1,280,280,Visa
TRX_00034,2025-10-29,22:34,136,S03,CUST_109,1,280,280,Cash
TRX_00035,2025-03-03,17:23,134,S01,CUST_128,1,135,135,Cash
TRX_00036,2025-10-13,16:48,106,S05,CUST_179,4,32,128,Cash
TRX_00037,2025-09-04,11:59,123,S01,CUST_042,3,620,1860,Cash
TRX_00038,2025-01-28,9:40,140,S02,CUST_025,4,175,700,Cash
TRX_00039,2025-11-25,11:19,119,S02,CUST_060,2,25,50,Cash
TRX_00040,2025-06-23,10:14,132,S05,CUST_022,5,20,100,App
TRX_00041,2025-07-21,10:41,122,S01,CUST_188,1,450,450,Visa
TRX_00042,2025-04-25,17:45,119,S04,CUST_129,4,25,100,Cash
TRX_00043,2025-07-26,12:29,121,S02,CUST_196,4,85,340,Cash
TRX_00044,2025-03-04,23:38,115,S01,CUST_133,4,180,720,Cash
TRX_00045,2025-01-01,13:49,134,S04,CUST_094,2,135,270,Visa
TRX_00046,2025-05-20,23:50,143,S02,CUST_167,4,350,1400,Cash
TRX_00047,2025-04-20,20:19,137,S02,CUST_138,1,320,320,Visa
TRX_00048,2025-10-30,16:55,138,S03,CUST_171,5,300,1500,Cash
TRX_00049,2025-08-01,14:21,110,S04,CUST_147,5,105,525,Cash
TRX_00050,2025-06-08,16:59,140,S04,CUST_042,5,175,875,Cash
TRX_00051,2025-11-19,12:36,144,S01,CUST_120,2,25,50,Cash
TRX_00052,2024-12-19,14:47,119,S02,CUST_176,4,25,100,Cash
TRX_00053,2025-06-12,19:50,129,S05,CUST_035,4,220,880,Visa
TRX_00054,2025-08-07,9:08,129,S05,CUST_070,2,220,440,Cash
TRX_00055,2025-05-15,22:06,112,S02,CUST_095,5,56,280,Visa
TRX_00056,2025-01-17,17:58,126,S03,CUST_007,4,390,1560,Cash
TRX_00057,2025-06-24,22:41,140,S01,CUST_120,2,175,350,App
TRX_00058,2025-07-25,21:16,126,S03,CUST_167,1,390,390,Cash
TRX_00059,2025-10-25,10:54,127,S02,CUST_195,4,95,380,Cash
